model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff,rank_diff
eva_giant_patch14_336.clip_ft_in1k,71.177,28.823,90.299,9.701,"1,013.01",336,1.000,bicubic,-18.289,-8.527,+6
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,70.662,29.338,89.856,10.144,305.08,448,1.000,bicubic,-19.390,-9.192,-1
eva02_large_patch14_448.mim_m38m_ft_in1k,70.546,29.454,89.843,10.157,305.08,448,1.000,bicubic,-19.028,-9.081,+2
convnext_xxlarge.clip_laion2b_soup_ft_in1k,70.039,29.961,90.334,9.666,846.47,256,1.000,bicubic,-18.565,-8.374,+10
eva_giant_patch14_224.clip_ft_in1k,70.021,29.979,89.768,10.232,"1,012.56",224,0.900,bicubic,-18.859,-8.912,+4
eva_giant_patch14_336.m30m_ft_in22k_in1k,68.052,31.948,87.819,12.181,"1,013.01",336,1.000,bicubic,-21.514,-11.133,0
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,67.533,32.467,87.506,12.494,305.08,448,1.000,bicubic,-22.437,-11.506,-5
eva_giant_patch14_560.m30m_ft_in22k_in1k,67.486,32.514,87.473,12.527,"1,014.45",560,1.000,bicubic,-22.300,-11.519,-5
vit_huge_patch14_clip_224.laion2b_ft_in1k,67.396,32.604,87.882,12.118,632.05,224,1.000,bicubic,-20.192,-10.337,+39
eva02_large_patch14_448.mim_in22k_ft_in1k,66.987,33.013,87.443,12.557,305.08,448,1.000,bicubic,-22.635,-11.507,-6
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,66.435,33.565,87.349,12.651,200.13,384,1.000,bicubic,-21.413,-11.097,+31
vit_large_patch14_clip_336.laion2b_ft_in1k,65.741,34.259,86.909,13.091,304.53,336,1.000,bicubic,-22.115,-11.459,+28
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,65.731,34.269,87.017,12.983,200.13,384,1.000,bicubic,-22.575,-11.565,+10
vit_huge_patch14_clip_224.laion2b_ft_in12k_in1k,65.323,34.677,86.826,13.174,632.05,224,1.000,bicubic,-22.933,-11.726,+11
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,65.260,34.740,86.757,13.242,632.46,336,1.000,bicubic,-23.332,-11.905,+1
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,65.091,34.909,86.284,13.716,200.13,256,1.000,bicubic,-22.245,-11.934,+42
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,64.918,35.082,86.649,13.351,200.13,320,1.000,bicubic,-23.040,-11.827,+19
vit_large_patch14_clip_224.laion2b_ft_in1k,64.820,35.181,86.575,13.425,304.20,224,1.000,bicubic,-22.466,-11.669,+43
regnety_1280.swag_ft_in1k,64.106,35.894,86.034,13.966,644.81,384,1.000,bicubic,-24.124,-12.652,+9
vit_large_patch14_clip_336.openai_ft_in12k_in1k,64.065,35.935,85.912,14.088,304.53,336,1.000,bicubic,-24.203,-12.614,+4
eva_large_patch14_336.in22k_ft_in1k,63.096,36.904,84.382,15.618,304.53,336,1.000,bicubic,-25.574,-14.340,-8
vit_large_patch14_clip_224.openai_ft_in1k,62.629,37.371,85.109,14.891,304.20,224,1.000,bicubic,-25.225,-13.317,+19
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,62.065,37.935,84.313,15.687,304.20,224,1.000,bicubic,-25.830,-14.095,+16
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k,61.611,38.389,83.651,16.349,304.53,336,1.000,bicubic,-26.569,-14.921,+8
vit_large_patch14_clip_224.openai_ft_in12k_in1k,61.402,38.598,83.362,16.638,304.20,224,1.000,bicubic,-26.772,-15.184,+8
eva_large_patch14_196.in22k_ft_in1k,61.113,38.887,82.776,17.224,304.14,196,1.000,bicubic,-26.819,-15.722,+11
eva_large_patch14_336.in22k_ft_in22k_in1k,60.944,39.056,82.136,17.864,304.53,336,1.000,bicubic,-28.262,-16.718,-19
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,60.795,39.205,83.220,16.780,88.59,384,1.000,bicubic,-26.339,-15.002,+36
convnext_base.clip_laion2b_augreg_ft_in1k,60.276,39.724,82.678,17.322,88.59,256,1.000,bicubic,-25.882,-15.002,+90
regnety_1280.swag_lc_in1k,59.913,40.087,83.161,16.839,644.81,224,0.965,bicubic,-26.069,-14.689,+105
eva_large_patch14_196.in22k_ft_in22k_in1k,59.883,40.117,81.143,18.857,304.14,196,1.000,bicubic,-28.691,-17.515,-14
convnext_base.clip_laion2b_augreg_ft_in12k_in1k,59.836,40.164,82.810,17.190,88.59,256,1.000,bicubic,-26.534,-15.174,+74
