model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,448,98.930,1.070,99.910,0.090,305.08,1.000,bicubic
eva02_large_patch14_448.mim_in22k_ft_in1k,448,98.840,1.160,99.830,0.170,305.08,1.000,bicubic
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,448,98.830,1.170,99.880,0.120,305.08,1.000,bicubic
eva_giant_patch14_560.m30m_ft_in22k_in1k,560,98.820,1.180,99.900,0.100,"1,014.45",1.000,bicubic
eva_giant_patch14_336.m30m_ft_in22k_in1k,336,98.810,1.190,99.900,0.100,"1,013.01",1.000,bicubic
eva_giant_patch14_336.clip_ft_in1k,336,98.810,1.190,99.820,0.180,"1,013.01",1.000,bicubic
eva_large_patch14_336.in22k_ft_in22k_in1k,336,98.750,1.250,99.810,0.190,304.53,1.000,bicubic
eva_large_patch14_336.in22k_ft_in1k,336,98.720,1.280,99.870,0.130,304.53,1.000,bicubic
eva02_large_patch14_448.mim_m38m_ft_in1k,448,98.720,1.280,99.790,0.210,305.08,1.000,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_384,384,98.670,1.330,99.860,0.140,660.29,1.000,bicubic
maxvit_base_tf_512.in21k_ft_in1k,512,98.640,1.360,99.800,0.200,119.88,1.000,bicubic
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,448,98.630,1.370,99.800,0.200,87.12,1.000,bicubic
maxvit_xlarge_tf_512.in21k_ft_in1k,512,98.620,1.380,99.800,0.200,475.77,1.000,bicubic
maxvit_large_tf_512.in21k_ft_in1k,512,98.610,1.390,99.790,0.210,212.33,1.000,bicubic
convnextv2_huge.fcmae_ft_in22k_in1k_512,512,98.590,1.410,99.870,0.130,660.29,1.000,bicubic
beit_large_patch16_512.in22k_ft_in22k_in1k,512,98.560,1.440,99.830,0.170,305.67,1.000,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,98.550,1.450,99.760,0.240,304.43,0.950,bicubic
tf_efficientnet_l2.ns_jft_in1k,800,98.540,1.460,99.820,0.180,480.31,0.960,bicubic
beit_large_patch16_384.in22k_ft_in22k_in1k,384,98.520,1.480,99.820,0.180,305.00,1.000,bicubic
maxvit_base_tf_384.in21k_ft_in1k,384,98.520,1.480,99.750,0.250,119.65,1.000,bicubic
maxvit_xlarge_tf_384.in21k_ft_in1k,384,98.510,1.490,99.780,0.220,475.32,1.000,bicubic
tf_efficientnet_l2.ns_jft_in1k_475,475,98.500,1.500,99.840,0.160,480.31,0.936,bicubic
maxvit_large_tf_384.in21k_ft_in1k,384,98.490,1.510,99.750,0.250,212.03,1.000,bicubic
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,384,98.480,1.520,99.750,0.250,200.13,1.000,bicubic
deit3_large_patch16_384.fb_in22k_ft_in1k,384,98.460,1.540,99.750,0.250,304.76,1.000,bicubic
eva_giant_patch14_224.clip_ft_in1k,224,98.460,1.540,99.750,0.250,"1,012.56",0.900,bicubic
regnety_1280.swag_ft_in1k,384,98.440,1.560,99.870,0.130,644.81,1.000,bicubic
convnext_xxlarge.clip_laion2b_soup_ft_in1k,256,98.440,1.560,99.820,0.180,846.47,1.000,bicubic
eva02_base_patch14_448.mim_in22k_ft_in1k,448,98.440,1.560,99.820,0.180,87.12,1.000,bicubic
caformer_b36.sail_in22k_ft_in1k_384,384,98.440,1.560,99.800,0.200,98.75,1.000,bicubic
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,336,98.430,1.570,99.810,0.190,632.46,1.000,bicubic
eva_large_patch14_196.in22k_ft_in22k_in1k,196,98.430,1.570,99.770,0.230,304.14,1.000,bicubic
convnext_xlarge.fb_in22k_ft_in1k_384,384,98.420,1.580,99.810,0.190,350.20,1.000,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,98.380,1.620,99.820,0.180,304.14,1.000,bicubic
convnextv2_large.fcmae_ft_in22k_in1k_384,384,98.380,1.620,99.760,0.240,197.96,1.000,bicubic
convnextv2_base.fcmae_ft_in22k_in1k_384,384,98.360,1.640,99.770,0.230,88.72,1.000,bicubic
